Pod Name,Type,Iteration,RAM,CPUS,Duration
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,5,8Gi,4,53
ven9-backend-cf779bf4c-66t8s,demo.fastq,16,32Gi,8,86
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,20,16Gi,6,78
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,12,16Gi,6,89
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,14,8Gi,4,91
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,4,8Gi,4,70
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,11,16Gi,6,68
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,10,8Gi,4,51
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,9,,,
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,7,16Gi,6,73
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,9,16Gi,6,34
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,13,16Gi,6,40
ven8-backend-c8f9bf456-xcgxp,demo.fastq,17,16Gi,6,90
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,13,16Gi,6,74
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,2,,,
ven1-backend-6f6564689-gxqlf,demo.fastq,12,8Gi,4,92
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,6,8Gi,4,75
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,10,16Gi,6,69
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,7,8Gi,4,60
ven7-backend-7487fcccb9-2pmsh,demo.fastq,6,8Gi,4,90
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,7,8Gi,4,90
ven10-backend-67c6475b55-bh6c6,demo.fastq,17,8Gi,4,102
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,11,8Gi,4,54
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,16,32Gi,8,30
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,16,16Gi,6,86
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,2,16Gi,6,71
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,12,16Gi,6,69
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,18,8Gi,4,62
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,1,8Gi,4,34
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,15,32Gi,8,73
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,2,8Gi,4,52
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,3,16Gi,6,69
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,19,8Gi,4,32
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,8,32Gi,8,30
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,18,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,7,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,11,,,
ven9-backend-cf779bf4c-66t8s,demo.fastq,7,32Gi,8,84
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,3,8Gi,4,73
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,6,32Gi,8,30
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,19,16Gi,6,91
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,3,,,
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,15,16Gi,6,28
ven9-backend-cf779bf4c-66t8s,demo.fastq,4,32Gi,8,83
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,1,8Gi,4,52
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,19,16Gi,6,84
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,6,32Gi,8,70
ven3-backend-856cdd777f-wk4px,demo.fastq,6,32Gi,8,85
ven8-backend-c8f9bf456-xcgxp,demo.fastq,12,16Gi,6,90
ven2-backend-5f8554fc6d-5s4h9,demo_25per.fastq,2,16Gi,6,33
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,20,8Gi,4,34
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,5,16Gi,6,34
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,4,,,
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,8,32Gi,8,52
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,17,8Gi,4,38
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,3,8Gi,4,34
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,16,16Gi,6,67
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,9,32Gi,8,31
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,7,8Gi,4,56
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,3,8Gi,4,56
ven8-backend-c8f9bf456-xcgxp,demo.fastq,15,16Gi,6,101
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,20,16Gi,6,31
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,5,16Gi,6,82
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,2,8Gi,4,32
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,16,8Gi,4,33
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,1,,,
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,7,16Gi,6,73
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,19,16Gi,6,61
ven8-backend-c8f9bf456-xcgxp,demo.fastq,16,16Gi,6,90
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,17,8Gi,4,37
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,5,16Gi,6,51
ven1-backend-6f6564689-gxqlf,demo.fastq,14,8Gi,4,91
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,11,16Gi,6,90
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,8,,,
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,16,32Gi,8,72
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,10,32Gi,8,67
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,18,16Gi,6,46
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,16,8Gi,4,61
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,1,32Gi,8,34
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,20,8Gi,4,85
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,17,32Gi,8,30
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,7,32Gi,8,80
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,8,,,
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,3,16Gi,6,88
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,1,16Gi,6,58
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,16,32Gi,8,51
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,17,,,
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,18,32Gi,8,68
ven6-backend-8c4c7995c-77qf7,demo.fastq,16,32Gi,8,86
ven9-backend-cf779bf4c-66t8s,demo.fastq,14,32Gi,8,84
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,7,8Gi,4,83
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,18,32Gi,8,69
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,6,16Gi,6,53
ven10-backend-67c6475b55-bh6c6,demo.fastq,11,8Gi,4,90
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,4,16Gi,6,52
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,18,32Gi,8,32
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,18,32Gi,8,28
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,11,32Gi,8,69
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,19,,,
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,3,8Gi,4,88
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,12,8Gi,4,55
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,7,16Gi,6,44
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,14,16Gi,6,38
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,9,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,5,,,
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,13,,,
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,4,32Gi,8,50
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,13,8Gi,4,54
ven3-backend-856cdd777f-wk4px,demo.fastq,14,32Gi,8,84
